t,q
402,0.03463456
403,0.03469584
404,0.03475712
405,0.0348184
406,0.03487968
407,0.03494096
408,0.03500224
409,0.03506352
410,0.0351248
411,0.03518608
412,0.03524736
413,0.03530864
414,0.03536992
415,0.0354312
416,0.03549248
417,0.03555376
418,0.03561504
419,0.03567632
420,0.0357376
421,0.03579888
422,0.03586016
423,0.03592144
424,0.03598272
425,0.036044
426,0.03610528
427,0.03616656
428,0.03622784
429,0.03628912
430,0.0363504
431,0.03641168
432,0.03647296
433,0.03653424
434,0.03659552
435,0.0366568
436,0.03671808
437,0.03677936
438,0.03684064
439,0.03690192
440,0.0369632
441,0.03702448
442,0.03708576
443,0.03714704
444,0.03720832
445,0.0372696
446,0.03733088
447,0.03739216
448,0.03745344
449,0.03751472
450,0.037576
451,0.03763728
452,0.03769856
453,0.03775984
454,0.03782112
455,0.0378824
456,0.03794368
457,0.03800496
458,0.03806624
459,0.03812752
460,0.0381888
461,0.03825008
462,0.03831136
463,0.03837264
464,0.03843392
465,0.0384952
466,0.03855648
467,0.03861776
468,0.03867904
469,0.03874032
470,0.0388016
471,0.03886288
472,0.03892416
473,0.03898544
474,0.03904672
475,0.039108
476,0.03916928
477,0.03923056
478,0.03929184
479,0.03935312
480,0.0394144
481,0.03947568
482,0.03953696
483,0.03959824
484,0.03965952
485,0.0397208
486,0.03978208
487,0.03984336
488,0.03990464
489,0.03996592
490,0.0400272
491,0.04008848
492,0.04014976
493,0.04021104
494,0.04027232
495,0.0403336
496,0.04039488
497,0.04045616
498,0.04051744
499,0.04057872
500,0.04064
501,0.04070128
502,0.04076256
503,0.04082384
504,0.04088512
505,0.0409464
506,0.04100768
507,0.04106896
508,0.04113024
509,0.04119152
510,0.0412528
511,0.04131408
512,0.04137536
513,0.04143664
514,0.04149792
515,0.0415592
516,0.04162048
517,0.04168176
518,0.04174304
519,0.04180432
520,0.0418656
521,0.04192688
522,0.04198816
523,0.04204944
524,0.04211072
525,0.042172
526,0.04223328
527,0.04229456
528,0.04235584
529,0.04241712
530,0.0424784
531,0.04253968
532,0.04260096
533,0.04266224
534,0.04272352
535,0.0427848
536,0.04284608
537,0.04290736
538,0.04296864
539,0.04302992
540,0.0430912
541,0.04315248
542,0.04321376
543,0.04327504
544,0.04333632
545,0.0433976
546,0.04345888
547,0.04352016
548,0.04358144
549,0.04364272
550,0.043704
551,0.04376528
552,0.04382656
553,0.04388784
554,0.04394912
555,0.0440104
556,0.04407168
557,0.04413296
558,0.04419424
559,0.04425552
560,0.0443168
561,0.04437808
562,0.04443936
563,0.04450064
564,0.04456192
565,0.0446232
566,0.04468448
567,0.04474576
568,0.04480704
569,0.04486832
570,0.0449296
571,0.04499088
572,0.04505216
573,0.04511344
574,0.04517472
575,0.045236
576,0.04529728
577,0.04535856
578,0.04541984
579,0.04548112
580,0.0455424
581,0.04560368
582,0.04566496
583,0.04572624
584,0.04578752
585,0.0458488
586,0.04591008
587,0.04597136
588,0.04603264
589,0.04609392
590,0.0461552
591,0.04621648
592,0.04627776
593,0.04633904
594,0.04640032
595,0.0464616
596,0.04652288
597,0.04658416
598,0.04664544
599,0.04670672
600,0.046768
601,0.04682928
602,0.04689056
603,0.04695184
604,0.04701312
605,0.0470744
606,0.04713568
607,0.04719696
608,0.04725824
609,0.04731952
610,0.0473808
611,0.04744208
612,0.04750336
613,0.04756464
614,0.04762592
615,0.0476872
616,0.04774848
617,0.04780976
618,0.04787104
619,0.04793232
620,0.0479936
621,0.04805488
622,0.04811616
623,0.04817744
624,0.04823872
625,0.0483
626,0.04836128
627,0.04842256
628,0.04848384
629,0.04854512
630,0.0486064
631,0.04866768
632,0.04872896
633,0.04879024
634,0.04885152
635,0.0489128
636,0.04897408
637,0.04903536
638,0.04909664
639,0.04915792
640,0.0492192
641,0.04928048
642,0.04934176
643,0.04940304
644,0.04946432
645,0.0495256
646,0.04958688
647,0.04964816
648,0.04970944
649,0.04977072
650,0.049832
651,0.04989328
652,0.04995456
653,0.05001584
654,0.05007712
655,0.0501384
656,0.05019968
