time,flow
1,0.01
2,0.010035237631372
3,0.010070475262744
4,0.010105712894116
5,0.010140950525487
6,0.010176188156859
7,0.010211425788231
8,0.010246663419603
9,0.010281901050975
10,0.010317138682346
11,0.010352376313718
12,0.01038761394509
13,0.010422851576462
14,0.010458089207834
15,0.010493326839206
16,0.010528564470577
17,0.010563802101949
18,0.010599039733321
19,0.010634277364693
20,0.010669514996065
21,0.010704752627437
22,0.010739990258808
23,0.01077522789018
24,0.010810465521552
25,0.010845703152924
26,0.010880940784296
27,0.010916178415667
28,0.010951416047039
29,0.010986653678411
30,0.011021891309783
31,0.011057128941155
32,0.011092366572527
33,0.011127604203898
34,0.01116284183527
35,0.011198079466642
36,0.011233317098014
37,0.011268554729386
38,0.011303792360757
39,0.011339029992129
40,0.011374267623501
41,0.011409505254873
42,0.011444742886245
43,0.011479980517617
44,0.011515218148988
45,0.01155045578036
46,0.011585693411732
47,0.011620931043104
48,0.011656168674476
49,0.011691406305848
50,0.011726643937219
51,0.011761881568591
52,0.011797119199963
53,0.011832356831335
54,0.011867594462707
55,0.011902832094078
56,0.01193806972545
57,0.011973307356822
58,0.012008544988194
59,0.012043782619566
60,0.012079020250938
61,0.012114257882309
62,0.012149495513681
63,0.012184733145053
64,0.012219970776425
65,0.012255208407797
66,0.012290446039169
67,0.01232568367054
68,0.012360921301912
69,0.012396158933284
70,0.012431396564656
71,0.012466634196028
72,0.012501871827399
73,0.012537109458771
74,0.012572347090143
75,0.012607584721515
76,0.012642822352887
77,0.012678059984259
78,0.01271329761563
79,0.012748535247002
80,0.012783772878374
81,0.012819010509746
82,0.012854248141118
83,0.01288948577249
84,0.012924723403861
85,0.012959961035233
86,0.012995198666605
87,0.013030436297977
88,0.013065673929349
89,0.01310091156072
90,0.013136149192092
91,0.013171386823464
92,0.013206624454836
93,0.013241862086208
94,0.01327709971758
95,0.013312337348951
96,0.013347574980323
97,0.013382812611695
98,0.013418050243067
99,0.013453287874439
100,0.013488525505811
101,0.013523763137182
102,0.013559000768554
103,0.013594238399926
104,0.013629476031298
105,0.01366471366267
106,0.013699951294041
107,0.013735188925413
108,0.013770426556785
109,0.013805664188157
110,0.013840901819529
111,0.013876139450901
112,0.013911377082272
113,0.013946614713644
114,0.013981852345016
115,0.014017089976388
116,0.01405232760776
117,0.014087565239131
118,0.014122802870503
119,0.014158040501875
120,0.014193278133247
121,0.014228515764619
122,0.014263753395991
123,0.014298991027362
124,0.014334228658734
125,0.014369466290106
126,0.014404703921478
127,0.01443994155285
128,0.014475179184222
129,0.014510416815593
130,0.014545654446965
131,0.014580892078337
132,0.014616129709709
133,0.014651367341081
134,0.014686604972452
135,0.014721842603824
136,0.014757080235196
137,0.014792317866568
138,0.01482755549794
139,0.014862793129312
140,0.014898030760683
141,0.014933268392055
142,0.014968506023427
143,0.015003743654799
144,0.015038981286171
145,0.015074218917543
146,0.015109456548914
147,0.015144694180286
148,0.015179931811658
149,0.01521516944303
150,0.015250407074402
151,0.015285644705773
152,0.015320882337145
153,0.015356119968517
154,0.015391357599889
155,0.015426595231261
156,0.015461832862633
157,0.015497070494004
158,0.015532308125376
159,0.015567545756748
160,0.01560278338812
161,0.015638021019492
162,0.015673258650864
163,0.015708496282235
164,0.015743733913607
165,0.015778971544979
166,0.015814209176351
167,0.015849446807723
168,0.015884684439094
169,0.015919922070466
170,0.015955159701838
171,0.01599039733321
172,0.016025634964582
173,0.016060872595954
174,0.016096110227325
175,0.016131347858697
176,0.016166585490069
177,0.016201823121441
178,0.016237060752813
179,0.016272298384184
180,0.016307536015556
181,0.016342773646928
182,0.0163780112783
183,0.016413248909672
184,0.016448486541044
185,0.016483724172415
186,0.016518961803787
187,0.016554199435159
188,0.016589437066531
189,0.016624674697903
190,0.016659912329275
191,0.016695149960646
192,0.016730387592018
193,0.01676562522339
194,0.016800862854762
195,0.016836100486134
196,0.016871338117505
197,0.016906575748877
198,0.016941813380249
199,0.016977051011621
200,0.017012288642993
201,0.017047526274365
202,0.017082763905736
203,0.017118001537108
204,0.01715323916848
205,0.017188476799852
206,0.017223714431224
207,0.017258952062596
208,0.017294189693967
209,0.017329427325339
210,0.017364664956711
211,0.017399902588083
212,0.017435140219455
213,0.017470377850826
214,0.017505615482198
215,0.01754085311357
216,0.017576090744942
217,0.017611328376314
218,0.017646566007686
219,0.017681803639057
220,0.017717041270429
221,0.017752278901801
222,0.017787516533173
223,0.017822754164545
224,0.017857991795917
225,0.017893229427288
226,0.01792846705866
227,0.017963704690032
228,0.017998942321404
229,0.018034179952776
230,0.018069417584147
231,0.018104655215519
232,0.018139892846891
233,0.018175130478263
234,0.018210368109635
235,0.018245605741007
236,0.018280843372378
237,0.01831608100375
238,0.018351318635122
239,0.018386556266494
240,0.018421793897866
241,0.018457031529238
242,0.018492269160609
243,0.018527506791981
244,0.018562744423353
245,0.018597982054725
246,0.018633219686097
247,0.018668457317468
248,0.01870369494884
249,0.018738932580212
250,0.018774170211584
251,0.018809407842956
252,0.018844645474328
253,0.018879883105699
254,0.018915120737071
255,0.018950358368443
256,0.018985595999815
257,0.019020833631187
258,0.019056071262559
259,0.01909130889393
260,0.019126546525302
261,0.019161784156674
262,0.019197021788046
263,0.019232259419418
264,0.019267497050789
265,0.019302734682161
266,0.019337972313533
267,0.019373209944905
268,0.019408447576277
269,0.019443685207649
270,0.01947892283902
271,0.019514160470392
272,0.019549398101764
273,0.019584635733136
274,0.019619873364508
275,0.019655110995879
276,0.019690348627251
277,0.019725586258623
278,0.019760823889995
279,0.019796061521367
